,Title,Pub_name,DOI,Cover_Date,URL,Link,Main_URL
23,12: Defects in nanomaterials for visible light photocatalysis,Nanostructured Materials for Visible Light Photocatalysis,10.1016/B978-0-12-823018-3.00002-6,2022-12-31,https://api.elsevier.com/content/article/pii/B9780128230183000026,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-823018-3.00002-6?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/B9780128230183000026
24,Characteristics of Ni<ce:inf loc=post>x</ce:inf>Co<ce:inf loc=post>x</ce:inf>Mg<ce:inf loc=post>x</ce:inf>Cu<ce:inf loc=post>x</ce:inf>Zn<ce:inf loc=post>1-4x</ce:inf>O nanomaterials: Their structural and magnetic properties and functional attributes,Ceramics International,10.1016/j.ceramint.2024.10.019,2024-10-03,https://api.elsevier.com/content/article/pii/S0272884224045024,https://api.elsevier.com/content/article/doi/10.1016/j.ceramint.2024.10.019?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0272884224045024
25,An in-depth exploration of eco-friendly synthesis methods for metal oxide nanoparticles and their role in photocatalysis for industrial dye degradation,Chemical Physics Impact,10.1016/j.chphi.2023.100355,2023-12-31,https://api.elsevier.com/content/article/pii/S2667022423001949,https://api.elsevier.com/content/article/doi/10.1016/j.chphi.2023.100355?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2667022423001949
26,Recent advancements and prospects in carbon-based nanomaterials derived from biomass for environmental remediation applications,Chemosphere,10.1016/j.chemosphere.2024.141935,2024-06-30,https://api.elsevier.com/content/article/pii/S0045653524008282,https://api.elsevier.com/content/article/doi/10.1016/j.chemosphere.2024.141935?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0045653524008282
27,Nanomaterials for treating emerging contaminants in water by adsorption and photocatalysis: Systematic review and bibliometric analysis,Science of The Total Environment,10.1016/j.scitotenv.2018.02.006,2018-06-15,https://api.elsevier.com/content/article/pii/S0048969718303929,https://api.elsevier.com/content/article/doi/10.1016/j.scitotenv.2018.02.006?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0048969718303929
28,Photocharging-activated photocatalysis for hydrogen production in CdS@Cd<ce:inf loc=post>x</ce:inf>Pb<ce:inf loc=post>1−x</ce:inf>S core-shell nanoparticles,Journal of Industrial and Engineering Chemistry,10.1016/j.jiec.2024.10.048,2024-10-24,https://api.elsevier.com/content/article/pii/S1226086X24007093,https://api.elsevier.com/content/article/doi/10.1016/j.jiec.2024.10.048?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1226086X24007093
29,A review on photocatalysis and nanocatalysts for advanced organic synthesis,Hybrid Advances,10.1016/j.hybadv.2024.100268,2024-08-31,https://api.elsevier.com/content/article/pii/S2773207X24001295,https://api.elsevier.com/content/article/doi/10.1016/j.hybadv.2024.100268?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2773207X24001295
30,"Light-triggered bactericidal semiconductor nanomaterials: classification, modification and antibacterial strategies",Applied Materials Today,10.1016/j.apmt.2024.102279,2024-08-31,https://api.elsevier.com/content/article/pii/S2352940724002245,https://api.elsevier.com/content/article/doi/10.1016/j.apmt.2024.102279?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2352940724002245
31,Chapter One: Nanomaterials and photocatalysis for environment: Applications and characterization,Comprehensive Analytical Chemistry,10.1016/bs.coac.2021.11.001,2022-12-31,https://api.elsevier.com/content/article/pii/S0166526X21000829,https://api.elsevier.com/content/article/doi/10.1016/bs.coac.2021.11.001?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0166526X21000829
32,Plasmon-enhanced photocatalysis: New horizons in carbon dioxide reduction technologies,Science of The Total Environment,10.1016/j.scitotenv.2024.172792,2024-07-01,https://api.elsevier.com/content/article/pii/S0048969724029395,https://api.elsevier.com/content/article/doi/10.1016/j.scitotenv.2024.172792?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0048969724029395
33,"21: Current status, research gaps, and future scope for nanomaterials toward visible light photocatalysis",Nanostructured Materials for Visible Light Photocatalysis,10.1016/B978-0-12-823018-3.00001-4,2022-12-31,https://api.elsevier.com/content/article/pii/B9780128230183000014,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-823018-3.00001-4?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/B9780128230183000014
34,"Scopes and challenges of microfluidic technology for nanoparticle synthesis, photocatalysis and sensor applications: A comprehensive review",Chemical Engineering Research and Design,10.1016/j.cherd.2023.03.049,2023-05-31,https://api.elsevier.com/content/article/pii/S0263876223002071,https://api.elsevier.com/content/article/doi/10.1016/j.cherd.2023.03.049?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0263876223002071
35,Advanced nanomaterials and dendrimers in water treatment and the recycling of nanomaterials: A review,Journal of Environmental Chemical Engineering,10.1016/j.jece.2024.112643,2024-06-30,https://api.elsevier.com/content/article/pii/S2213343724007735,https://api.elsevier.com/content/article/doi/10.1016/j.jece.2024.112643?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2213343724007735
36,Polymer-supported nanomaterials for photodegradation: Unraveling the methylene blue menace,Energy Conversion and Management: X,10.1016/j.ecmx.2024.100547,2024-04-30,https://api.elsevier.com/content/article/pii/S2590174524000254,https://api.elsevier.com/content/article/doi/10.1016/j.ecmx.2024.100547?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2590174524000254
37,Efficient removal of cationic dyes from water by a combined adsorption-photocatalysis process using platinum-doped titanate nanomaterials,Journal of the Taiwan Institute of Chemical Engineers,10.1016/j.jtice.2019.03.017,2019-06-30,https://api.elsevier.com/content/article/pii/S1876107019301324,https://api.elsevier.com/content/article/doi/10.1016/j.jtice.2019.03.017?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1876107019301324
38,Characterization and fabrication of p-Cu<ce:inf loc=post>2</ce:inf>O/n-CeO<ce:inf loc=post>2</ce:inf> nanocomposite for the application of photocatalysis,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2024.133271,2024-03-20,https://api.elsevier.com/content/article/pii/S0927775724001328,https://api.elsevier.com/content/article/doi/10.1016/j.colsurfa.2024.133271?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0927775724001328
39,High-efficient synergy of piezocatalysis and photocatalysis in bismuth oxychloride nanomaterial for dye decomposition,Chemosphere,10.1016/j.chemosphere.2019.04.121,2019-08-31,https://api.elsevier.com/content/article/pii/S004565351930774X,https://api.elsevier.com/content/article/doi/10.1016/j.chemosphere.2019.04.121?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S004565351930774X
40,Future roadmap on nonmetal-based 2D ultrathin nanomaterials for photocatalysis,Chemical Engineering Journal,10.1016/j.cej.2020.126780,2021-02-15,https://api.elsevier.com/content/article/pii/S1385894720329089,https://api.elsevier.com/content/article/doi/10.1016/j.cej.2020.126780?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1385894720329089
41,Spotlighting graphene-based nanomaterials for the mitigation of hazardous water pollutants: A review,Inorganic Chemistry Communications,10.1016/j.inoche.2024.112618,2024-08-31,https://api.elsevier.com/content/article/pii/S1387700324006014,https://api.elsevier.com/content/article/doi/10.1016/j.inoche.2024.112618?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1387700324006014
42,"A review of CdS photocatalytic nanomaterials: Morphology, synthesis methods, and applications",Materials Science in Semiconductor Processing,10.1016/j.mssp.2024.108288,2024-06-15,https://api.elsevier.com/content/article/pii/S1369800124001847,https://api.elsevier.com/content/article/doi/10.1016/j.mssp.2024.108288?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1369800124001847
43,Emerging trends of ferrite-based nanomaterials as photocatalysts for environmental remediation: A review and synthetic perspective,Sustainable Materials and Technologies,10.1016/j.susmat.2024.e00961,2024-07-31,https://api.elsevier.com/content/article/pii/S2214993724001416,https://api.elsevier.com/content/article/doi/10.1016/j.susmat.2024.e00961?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2214993724001416
44,Photocatalysis fundamentals and surface modification of TiO<ce:inf loc=post>2</ce:inf> nanomaterials,Chinese Journal of Catalysis,10.1016/S1872-2067(15)60999-8,2015-12-31,https://api.elsevier.com/content/article/pii/S1872206715609998,https://api.elsevier.com/content/article/doi/10.1016/S1872-2067(15)60999-8?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1872206715609998
45,Photocatalysis with easily recoverable linear engineered TiO<ce:inf loc=post>2</ce:inf> nanomaterials to prevent the formation of disinfection byproducts in drinking water,Journal of Environmental Chemical Engineering,10.1016/j.jece.2017.11.068,2018-02-28,https://api.elsevier.com/content/article/pii/S2213343717306279,https://api.elsevier.com/content/article/doi/10.1016/j.jece.2017.11.068?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2213343717306279
46,"Electro-, thermo-, and photocatalysis of versatile nanocomposites toward tandem process",iScience,10.1016/j.isci.2024.108781,2024-02-16,https://api.elsevier.com/content/article/pii/S2589004224000026,https://api.elsevier.com/content/article/doi/10.1016/j.isci.2024.108781?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2589004224000026
47,Environmental applications and risks of engineered nanomaterials in removing petroleum oil in soil,Science of The Total Environment,10.1016/j.scitotenv.2024.174165,2024-10-10,https://api.elsevier.com/content/article/pii/S0048969724043134,https://api.elsevier.com/content/article/doi/10.1016/j.scitotenv.2024.174165?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0048969724043134
48,"Advances in MoS<ce:inf loc=post>2</ce:inf>-based nanomaterials for supercapacitors, batteries and photovoltaics applications",Journal of Energy Storage,10.1016/j.est.2024.114355,2024-12-10,https://api.elsevier.com/content/article/pii/S2352152X24039410,https://api.elsevier.com/content/article/doi/10.1016/j.est.2024.114355?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2352152X24039410
49,Mxene a versatile hybrid inorganic nanomaterial; a useful adsorbent for the removal of toxic heavy metals and its other applications,Inorganic Chemistry Communications,10.1016/j.inoche.2024.113157,2024-12-31,https://api.elsevier.com/content/article/pii/S1387700324011444,https://api.elsevier.com/content/article/doi/10.1016/j.inoche.2024.113157?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S1387700324011444
50,"Sparkling jewels of innovation: Revolutionizing environmental solutions with spinel-infused advanced nanomaterials, unveiling today's insights, and illuminating tomorrow's frontiers",Journal of Alloys and Compounds,10.1016/j.jallcom.2024.174542,2024-07-25,https://api.elsevier.com/content/article/pii/S0925838824011290,https://api.elsevier.com/content/article/doi/10.1016/j.jallcom.2024.174542?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S0925838824011290
51,Chapter 8: Luminescence nanomaterials for photocatalysis,Handbook of Nanomaterials for Wastewater Treatment,10.1016/B978-0-12-821496-1.00005-2,2021-12-31,https://api.elsevier.com/content/article/pii/B9780128214961000052,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-821496-1.00005-2?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/B9780128214961000052
52,Chapter 20: Photocatalysis as an effective and sustainable approach for environmental remediation,Sustainable Remediation Technologies for Emerging Pollutants in Aqueous Environment,10.1016/B978-0-443-18618-9.00014-0,2024-12-31,https://api.elsevier.com/content/article/pii/B9780443186189000140,https://api.elsevier.com/content/article/doi/10.1016/B978-0-443-18618-9.00014-0?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/B9780443186189000140
53,19: TiO<ce:inf loc=post>2</ce:inf>/carbon composite nanomaterials for photocatalysis,Current Developments in Photocatalysis and Photocatalytic Materials,10.1016/B978-0-12-819000-5.00019-9,2020-12-31,https://api.elsevier.com/content/article/pii/B9780128190005000199,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-819000-5.00019-9?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/B9780128190005000199
54,A comparative overview of the recent progress of some novel metal oxide and sulfide nanomaterials-based photocatalyst,Materials Today Communications,10.1016/j.mtcomm.2024.110115,2024-08-31,https://api.elsevier.com/content/article/pii/S2352492824020968,https://api.elsevier.com/content/article/doi/10.1016/j.mtcomm.2024.110115?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2352492824020968
55,"A review on the synthesis, characterization, and recent advancements of visible light-activated C-TiO<ce:inf loc=post>2</ce:inf> nanomaterials for environmental remediation",Next Nanotechnology,10.1016/j.nxnano.2024.100082,2024-12-31,https://api.elsevier.com/content/article/pii/S2949829524000433,https://api.elsevier.com/content/article/doi/10.1016/j.nxnano.2024.100082?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2949829524000433
56,"A review of photocatalysis, basic principles, processes, and materials",Sustainable Chemistry for the Environment,10.1016/j.scenv.2024.100155,2024-12-31,https://api.elsevier.com/content/article/pii/S2949839224000981,https://api.elsevier.com/content/article/doi/10.1016/j.scenv.2024.100155?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2949839224000981
57,Applicability of nanomaterials in water and waste-water treatment: A state-of-the-art review and future perspectives,Materials Today: Proceedings,10.1016/j.matpr.2024.01.037,2024-01-25,https://api.elsevier.com/content/article/pii/S2214785324000373,https://api.elsevier.com/content/article/doi/10.1016/j.matpr.2024.01.037?apiKey=4d043e5d4511d1064c7cc4ef4b7ea2c1&insttoken=a19131a7db4987f6dc31a5860557b253,https://www.sciencedirect.com/science/article/pii/S2214785324000373
